"plant_id","p_supply","amf_pa","amf_richness","amf_csr","field_measure_date","shoot_g","root_g","root_shoot","tot_flower","flower_d_cm","nectar_mm","nectar_brix","pollen_density","protein_mg_l","hyphae_m_g","prop_col","col_hyp","spore_count"
30,"high","absent","0 sp","none",2019-08-10,27.59,12.121637,0.439348930772019,3,NA,NA,NA,NA,NA,0.310992337280764,0,0.00321551331053279,16.5
30,"high","absent","0 sp","none",2019-08-10,27.59,12.121637,0.439348930772019,NA,NA,NA,NA,NA,NA,0.310992337280764,0,0.00321551331053279,16.5
31,"low","present","2 sp","ruderal",2019-08-10,27.63,8.536058113,0.308941661708288,4,NA,NA,NA,NA,NA,1.80126761753018,0.819672131147541,0.455608107957224,25.7
31,"low","present","2 sp","ruderal",2019-08-10,27.63,8.536058113,0.308941661708288,NA,NA,NA,NA,NA,NA,1.80126761753018,0.819672131147541,0.455608107957224,25.7
32,"low","present","2 sp","ruderal",2019-08-10,28.58,7.196242263,0.251792941322603,4,NA,NA,NA,NA,NA,1.68184656001437,0.596774193548387,0.35542730696151,54.5
32,"low","present","2 sp","ruderal",2019-08-10,28.58,7.196242263,0.251792941322603,NA,NA,NA,NA,NA,NA,1.68184656001437,0.596774193548387,0.35542730696151,54.5
33,"low","present","2 sp","ruderal",2019-08-10,24.19,7.15733556,0.29587993220339,3,NA,NA,NA,NA,NA,1.69926213090209,0.595744680851064,0.351178708687087,47
33,"low","present","2 sp","ruderal",2019-08-10,24.19,7.15733556,0.29587993220339,NA,NA,NA,NA,NA,NA,1.69926213090209,0.595744680851064,0.351178708687087,47
34,"low","present","2 sp","ruderal",2019-08-10,25.63,7.468449848,0.291394843854858,2,NA,NA,NA,NA,NA,1.79877967883194,0.555555555555556,0.309407295459866,20.5
34,"low","present","2 sp","ruderal",2019-08-10,25.63,7.468449848,0.291394843854858,NA,NA,NA,NA,NA,NA,1.79877967883194,0.555555555555556,0.309407295459866,20.5
35,"low","present","2 sp","ruderal",2019-08-10,24.06,6.631448382,0.275621296009975,2,NA,NA,NA,NA,NA,1.03498249847038,0.3,0.290826173819223,8.5
35,"low","present","2 sp","ruderal",2019-08-10,24.06,6.631448382,0.275621296009975,NA,NA,NA,NA,NA,NA,1.03498249847038,0.3,0.290826173819223,8.5
36,"high","present","2 sp","ruderal",2019-08-10,32.31,8.747998537,0.270752043856391,3,NA,NA,NA,NA,NA,0.328407908168487,0,0.00304499366527726,4.5
36,"high","present","2 sp","ruderal",2019-08-10,32.31,8.747998537,0.270752043856391,NA,NA,NA,NA,NA,NA,0.328407908168487,0,0.00304499366527726,4.5
37,"high","present","2 sp","ruderal",2019-08-10,29.01,7.042723221,0.2427688114788,5,NA,NA,NA,NA,NA,0.947904644031768,0.183098591549296,0.194216362065978,1
37,"high","present","2 sp","ruderal",2019-08-10,29.01,7.042723221,0.2427688114788,NA,NA,NA,NA,NA,NA,0.947904644031768,0.183098591549296,0.194216362065978,1
38,"high","present","2 sp","ruderal",2019-08-10,29.89,8.301241362,0.277726375443292,2,NA,NA,NA,NA,NA,0.365726988642178,0.021978021978022,0.0628283465306504,2.5
38,"high","present","2 sp","ruderal",2019-08-10,29.89,8.301241362,0.277726375443292,NA,NA,NA,NA,NA,NA,0.365726988642178,0.021978021978022,0.0628283465306504,2.5
39,"high","present","2 sp","ruderal",2019-08-10,32.31,7.148127985,0.221235777932529,5,NA,NA,NA,NA,NA,0.201523034557935,0.032967032967033,0.16855161516173,15
39,"high","present","2 sp","ruderal",2019-08-10,32.31,7.148127985,0.221235777932529,NA,NA,NA,NA,NA,NA,0.201523034557935,0.032967032967033,0.16855161516173,15
40,"high","present","2 sp","ruderal",2019-08-10,32.68,8.855809285,0.27098559623623,2,NA,NA,NA,NA,NA,0.445341026986054,0.0531914893617021,0.121685373854853,9
40,"high","present","2 sp","ruderal",2019-08-10,32.68,8.855809285,0.27098559623623,NA,NA,NA,NA,NA,NA,0.445341026986054,0.0531914893617021,0.121685373854853,9
41,"low","present","2 sp","stress tolerant",2019-08-10,27.17,8.498368984,0.31278501965403,2,NA,NA,NA,NA,NA,1.10215684332303,0.037037037037037,0.0345114556675567,18
41,"low","present","2 sp","stress tolerant",2019-08-10,27.17,8.498368984,0.31278501965403,NA,NA,NA,NA,NA,NA,1.10215684332303,0.037037037037037,0.0345114556675567,18
42,"low","present","2 sp","stress tolerant",2019-08-10,26.86,5.276037645,0.19642731366344,2,NA,NA,NA,NA,NA,0.495099800950976,0,0.00201979479304824,12
42,"low","present","2 sp","stress tolerant",2019-08-10,26.86,5.276037645,0.19642731366344,NA,NA,NA,NA,NA,NA,0.495099800950976,0,0.00201979479304824,12
43,"low","present","2 sp","stress tolerant",2019-08-10,25.18,6.849447771,0.272019371366164,3,NA,NA,NA,NA,NA,0.883218237877369,0.188405797101449,0.214449599180205,30
43,"low","present","2 sp","stress tolerant",2019-08-10,25.18,6.849447771,0.272019371366164,NA,NA,NA,NA,NA,NA,0.883218237877369,0.188405797101449,0.214449599180205,30
44,"low","present","2 sp","stress tolerant",2019-08-10,26.72,7.02076399,0.262753143338323,1,NA,NA,NA,NA,NA,0.320944092073748,0.0326086956521739,0.104718225018615,13
44,"low","present","2 sp","stress tolerant",2019-08-10,26.72,7.02076399,0.262753143338323,NA,NA,NA,NA,NA,NA,0.320944092073748,0.0326086956521739,0.104718225018615,13
45,"low","present","2 sp","stress tolerant",2019-08-10,27.46,7.897172289,0.287588211544064,2,NA,NA,NA,NA,NA,0.519979187933437,0.166666666666667,0.322448802870414,13.5
45,"low","present","2 sp","stress tolerant",2019-08-10,27.46,7.897172289,0.287588211544064,NA,NA,NA,NA,NA,NA,0.519979187933437,0.166666666666667,0.322448802870414,13.5
46,"high","present","2 sp","stress tolerant",2019-08-10,33.88,9.817213706,0.2897642770366,1,NA,NA,NA,NA,NA,0.400558130417624,0,0.00249651654544471,25
46,"high","present","2 sp","stress tolerant",2019-08-10,33.88,9.817213706,0.2897642770366,NA,NA,NA,NA,NA,NA,0.400558130417624,0,0.00249651654544471,25
47,"high","present","2 sp","stress tolerant",2019-08-10,30.65,9.058982202,0.295562225187602,5,NA,NA,NA,NA,NA,0.554810329708883,0,0.00180241777496233,13.5
47,"high","present","2 sp","stress tolerant",2019-08-10,30.65,9.058982202,0.295562225187602,NA,NA,NA,NA,NA,NA,0.554810329708883,0,0.00180241777496233,13.5
48,"high","present","2 sp","stress tolerant",2019-08-10,34.1,6.942697463,0.203598166070381,3,NA,NA,NA,NA,NA,0.261233563315842,0,0.00382799203634856,25.5
48,"high","present","2 sp","stress tolerant",2019-08-10,34.1,6.942697463,0.203598166070381,NA,NA,NA,NA,NA,NA,0.261233563315842,0,0.00382799203634856,25.5
49,"high","present","2 sp","stress tolerant",2019-08-10,31.02,9.224246258,0.297364482849774,2,NA,NA,NA,NA,NA,0.228890360238642,0,0.00436890395452826,8.5
49,"high","present","2 sp","stress tolerant",2019-08-10,31.02,9.224246258,0.297364482849774,NA,NA,NA,NA,NA,NA,0.228890360238642,0,0.00436890395452826,8.5
50,"high","present","2 sp","stress tolerant",2019-08-10,29.59,8.602410531,0.290720193680297,0,NA,NA,NA,NA,NA,0.281137072901811,0.0531914893617021,0.192758247079811,18
50,"high","present","2 sp","stress tolerant",2019-08-10,29.59,8.602410531,0.290720193680297,NA,NA,NA,NA,NA,NA,0.281137072901811,0.0531914893617021,0.192758247079811,18
1,"low","present","2 sp","competitor",2019-08-12,24.79,6.453308845,0.260319033682937,0,NA,NA,NA,NA,NA,0.0646864061543989,0,0.0154591986083307,10.5
1,"low","present","2 sp","competitor",2019-08-12,24.79,6.453308845,0.260319033682937,NA,NA,NA,NA,NA,NA,0.0646864061543989,0,0.0154591986083307,10.5
2,"low","present","2 sp","competitor",2019-08-12,28.21,6.759312053,0.239606949769585,4,9.1,37,39,64,0.699860007322948,0.111957241421075,0,0.00893198141814665,11
2,"low","present","2 sp","competitor",2019-08-12,28.21,6.759312053,0.239606949769585,NA,NA,NA,NA,NA,NA,0.111957241421075,0,0.00893198141814665,11
3,"low","present","2 sp","competitor",2019-08-12,26.83,7.427612256,0.276839815728662,4,10.5,NA,NA,343,0.76156844060037,0.0995175479298444,0.0103092783505155,0.113641047089384,19
3,"low","present","2 sp","competitor",2019-08-12,26.83,7.427612256,0.276839815728662,NA,NA,NA,NA,NA,NA,0.0995175479298444,0.0103092783505155,0.113641047089384,19
4,"low","present","2 sp","competitor",2019-08-12,28.59,6.442731539,0.225349126932494,3,NA,NA,NA,NA,NA,0.189083341066704,0,0.00528867320811316,9.5
4,"low","present","2 sp","competitor",2019-08-12,28.59,6.442731539,0.225349126932494,NA,NA,NA,NA,NA,NA,0.189083341066704,0,0.00528867320811316,9.5
5,"low","present","2 sp","competitor",2019-08-12,24.52,6.728341814,0.274402194698206,4,10.1,80,46,408,0.626163280459963,0.129372812308798,0,0.00772959930416535,7.5
5,"low","present","2 sp","competitor",2019-08-12,24.52,6.728341814,0.274402194698206,NA,NA,NA,NA,NA,NA,0.129372812308798,0,0.00772959930416535,7.5
6,"high","present","2 sp","competitor",2019-08-12,29.18,8.203842031,0.281146060006854,5,NA,51,47,391,0.743377564565563,0.08956579313686,0,0.0111649767726833,0
6,"high","present","2 sp","competitor",2019-08-12,29.18,8.203842031,0.281146060006854,NA,10.5,NA,NA,NA,NA,0.08956579313686,0,0.0111649767726833,0
